Hugo_Symbol,threshold,n_variants,n_predicted_artifact,artifact_fraction,median_rep_error_probability,mean_rep_error_probability
RAD23B,0.75,3,3,1.0,0.936707,0.939413
RAE1,0.75,3,3,1.0,0.991348,0.991349
RALGAPB,0.75,3,3,1.0,0.925625,0.927461
RAMP3,0.75,3,3,1.0,0.991044,0.988611
RAPGEF3,0.75,3,3,1.0,0.990286,0.989709
RAPGEF4,0.75,3,3,1.0,0.980194,0.924215
RBBP5,0.75,3,3,1.0,0.976556,0.969161
RBM28,0.75,3,3,1.0,0.960626,0.927487
RGL3,0.75,3,3,1.0,0.991374,0.991381
RINT1,0.75,3,3,1.0,0.97903,0.982513
RNASE10,0.75,3,3,1.0,0.974475,0.961952
RND3,0.75,3,3,1.0,0.953936,0.936887
RNF128,0.75,3,3,1.0,0.922962,0.939165
RNF144A,0.75,3,3,1.0,0.991503,0.94757
RNF214,0.75,3,3,1.0,0.991431,0.991447
RPL30,0.75,3,3,1.0,0.967158,0.968668
RRAGD,0.75,3,3,1.0,0.985625,0.972481
RSPRY1,0.75,3,3,1.0,0.991264,0.990711
RTBDN,0.75,3,3,1.0,0.978784,0.97853
RTN4IP1,0.75,3,3,1.0,0.982326,0.96492
RTRAF,0.75,3,3,1.0,0.987338,0.986819
RUNX1,0.75,3,3,1.0,0.985713,0.921347
RYBP,0.75,3,3,1.0,0.975501,0.964952
SASS6,0.75,3,3,1.0,0.9914,0.991326
SDAD1,0.75,3,3,1.0,0.991344,0.989619
SEC24D,0.75,3,3,1.0,0.974142,0.978044
SEC61A2,0.75,3,3,1.0,0.978949,0.98128
SENP6,0.75,3,3,1.0,0.955745,0.954454
SEPTIN10,0.75,3,3,1.0,0.960257,0.960976
SEPTIN12,0.75,3,3,1.0,0.975503,0.962904
SESN1,0.75,3,3,1.0,0.969985,0.919926
SFMBT2,0.75,3,3,1.0,0.990496,0.989052
SHLD1,0.75,3,3,1.0,0.971793,0.95971
SIGLEC1,0.75,3,3,1.0,0.942558,0.935948
SIK3,0.75,3,3,1.0,0.900667,0.906874
SIL1,0.75,3,3,1.0,0.991278,0.986572
SLC12A9,0.75,3,3,1.0,0.989904,0.986952
SLC13A1,0.75,3,3,1.0,0.984595,0.981396
SLC1A1,0.75,3,3,1.0,0.976399,0.943431
SLC25A14,0.75,3,3,1.0,0.991431,0.979057
SLC2A12,0.75,3,3,1.0,0.973439,0.960607
SLC2A13,0.75,3,3,1.0,0.990388,0.956784
SLC36A3,0.75,3,3,1.0,0.938445,0.923203
SLC38A10,0.75,3,3,1.0,0.965081,0.945332
SLC39A8,0.75,3,3,1.0,0.991271,0.95591
SLC5A3,0.75,3,3,1.0,0.99099,0.98642
SLC7A10,0.75,3,3,1.0,0.991073,0.986352
SLC8A1,0.75,3,3,1.0,0.969807,0.95921
SLX4IP,0.75,3,3,1.0,0.989653,0.987942
SMC4,0.75,3,3,1.0,0.989862,0.965157
SMG5,0.75,3,3,1.0,0.980848,0.981679
SMPDL3B,0.75,3,3,1.0,0.991468,0.991251
SNX19,0.75,3,3,1.0,0.991512,0.991211
SNX27,0.75,3,3,1.0,0.99129,0.989139
SOAT1,0.75,3,3,1.0,0.990749,0.979988
SPDL1,0.75,3,3,1.0,0.991451,0.981834
SPDYE1,0.75,3,3,1.0,0.970101,0.952005
SPRYD4,0.75,3,3,1.0,0.920865,0.910815
SPTLC1,0.75,3,3,1.0,0.991472,0.991465
SSRP1,0.75,3,3,1.0,0.963736,0.91769
STAP1,0.75,3,3,1.0,0.986021,0.980967
STARD3NL,0.75,3,3,1.0,0.991385,0.986852
STAU2,0.75,3,3,1.0,0.976821,0.953384
STIL,0.75,3,3,1.0,0.983821,0.909569
STK39,0.75,3,3,1.0,0.917351,0.92084
SUPT20HL1,0.75,3,3,1.0,0.899482,0.912292
TBC1D3B,0.75,3,3,1.0,0.991217,0.989478
TBP,0.75,3,3,1.0,0.988643,0.973183
TBX6,0.75,3,3,1.0,0.988648,0.986102
TCAF1,0.75,3,3,1.0,0.990691,0.990044
TCEAL5,0.75,3,3,1.0,0.991277,0.974935
TCEAL6,0.75,3,3,1.0,0.928474,0.942622
TCERG1,0.75,3,3,1.0,0.991273,0.969788
TDO2,0.75,3,3,1.0,0.973116,0.963928
TERB2,0.75,3,3,1.0,0.958039,0.945826
TEX10,0.75,3,3,1.0,0.923958,0.924234
TEX101,0.75,3,3,1.0,0.983421,0.979044
TEX29,0.75,3,3,1.0,0.988069,0.988461
TEX55,0.75,3,3,1.0,0.99141,0.97953
TFAP2B,0.75,3,3,1.0,0.98776,0.919432
TIMM44,0.75,3,3,1.0,0.955814,0.955542
TJAP1,0.75,3,3,1.0,0.878592,0.900015
TM4SF20,0.75,3,3,1.0,0.971569,0.95877
TM7SF2,0.75,3,3,1.0,0.97984,0.980273
TMEM144,0.75,3,3,1.0,0.990259,0.959162
TMEM181,0.75,3,3,1.0,0.97339,0.974227
TMEM200C,0.75,3,3,1.0,0.991318,0.990301
TMEM38A,0.75,3,3,1.0,0.978926,0.954475
TMEM45B,0.75,3,3,1.0,0.991277,0.987874
TMPRSS11E,0.75,3,3,1.0,0.970192,0.970717
TMTC4,0.75,3,3,1.0,0.918808,0.93284
TNFAIP8L3,0.75,3,3,1.0,0.964549,0.959633
TPH1,0.75,3,3,1.0,0.991479,0.989471
TPST1,0.75,3,3,1.0,0.961709,0.964559
TRAM1L1,0.75,3,3,1.0,0.918664,0.885377
TRBV3-1,0.75,3,3,1.0,0.990568,0.98425
TRBV4-1,0.75,3,3,1.0,0.991397,0.984047
TRHR,0.75,3,3,1.0,0.991098,0.97287
TRIM27,0.75,3,3,1.0,0.988646,0.919408
TRIM65,0.75,3,3,1.0,0.984083,0.975317
TRMT10B,0.75,3,3,1.0,0.974265,0.971312
TRO,0.75,3,3,1.0,0.991463,0.991211
TSPAN12,0.75,3,3,1.0,0.989881,0.976351
TTPAL,0.75,3,3,1.0,0.9621,0.96899
TUBA1C,0.75,3,3,1.0,0.970946,0.975013
TUBA4A,0.75,3,3,1.0,0.988742,0.968304
TULP1,0.75,3,3,1.0,0.989524,0.957674
TUT7,0.75,3,3,1.0,0.990435,0.990662
TXNIP,0.75,3,3,1.0,0.976069,0.980329
UBE3D,0.75,3,3,1.0,0.971754,0.971038
UBQLNL,0.75,3,3,1.0,0.964932,0.924114
UBR3,0.75,3,3,1.0,0.908224,0.923315
UGT2A2,0.75,3,3,1.0,0.989098,0.983857
USP14,0.75,3,3,1.0,0.991336,0.949325
VAV3,0.75,3,3,1.0,0.973944,0.930547
VEPH1,0.75,3,3,1.0,0.987234,0.98839
VN1R4,0.75,3,3,1.0,0.973164,0.976595
VWC2,0.75,3,3,1.0,0.991244,0.917833
WAPL,0.75,3,3,1.0,0.991368,0.989341
WASF3,0.75,3,3,1.0,0.973318,0.970205
WDR35,0.75,3,3,1.0,0.978858,0.982509
WDR92,0.75,3,3,1.0,0.960289,0.967331
WNT4,0.75,3,3,1.0,0.986952,0.953381
YTHDF2,0.75,3,3,1.0,0.95507,0.939593
ZBBX,0.75,3,3,1.0,0.986453,0.986856
ZC3H7A,0.75,3,3,1.0,0.990172,0.948108
ZKSCAN1,0.75,3,3,1.0,0.991141,0.99056
ZKSCAN3,0.75,3,3,1.0,0.98602,0.97242
ZNF112,0.75,3,3,1.0,0.979671,0.979962
ZNF14,0.75,3,3,1.0,0.99099,0.989826
ZNF205,0.75,3,3,1.0,0.973718,0.973144
ZNF3,0.75,3,3,1.0,0.990811,0.990591
ZNF347,0.75,3,3,1.0,0.990743,0.989581
ZNF366,0.75,3,3,1.0,0.972803,0.960204
ZNF417,0.75,3,3,1.0,0.985357,0.984778
ZNF473,0.75,3,3,1.0,0.990901,0.966751
ZNF578,0.75,3,3,1.0,0.987999,0.987288
ZNF630,0.75,3,3,1.0,0.960288,0.966315
ZNF662,0.75,3,3,1.0,0.965836,0.936245
ZNF700,0.75,3,3,1.0,0.893857,0.921745
ZNF768,0.75,3,3,1.0,0.99145,0.990802
ZNF77,0.75,3,3,1.0,0.965141,0.961337
ZNF875,0.75,3,3,1.0,0.991141,0.986768
ZPBP2,0.75,3,3,1.0,0.988543,0.977005
ZYX,0.75,3,3,1.0,0.972782,0.959575
ACP3,0.75,4,3,0.75,0.95874,0.820635
ACTBL2,0.75,4,3,0.75,0.910002,0.817564
ACVR1C,0.75,4,3,0.75,0.93822,0.717382
ADAM9,0.75,4,3,0.75,0.952379,0.898683
ADCY2,0.75,4,3,0.75,0.965522,0.73621
AGFG1,0.75,4,3,0.75,0.920334,0.712905
AGPAT4,0.75,4,3,0.75,0.929712,0.712696
AGTPBP1,0.75,4,3,0.75,0.972918,0.826288
AKAP17A,0.75,4,3,0.75,0.951111,0.811431
ALDH3B2,0.75,4,3,0.75,0.893007,0.812157
ANGEL2,0.75,4,3,0.75,0.918734,0.707217
ANO9,0.75,4,3,0.75,0.986562,0.751669
AQP9,0.75,4,3,0.75,0.983456,0.851856
ARHGAP18,0.75,4,3,0.75,0.981518,0.73863
ARHGAP29,0.75,4,3,0.75,0.991016,0.751003
ARHGAP5,0.75,4,3,0.75,0.88257,0.833835
ARHGEF19,0.75,4,3,0.75,0.960392,0.879487
ARHGEF40,0.75,4,3,0.75,0.898836,0.832631
ARMC6,0.75,4,3,0.75,0.941499,0.802129
ART4,0.75,4,3,0.75,0.884741,0.746894
ASB15,0.75,4,3,0.75,0.988753,0.898018
ATP13A5,0.75,4,3,0.75,0.974313,0.734423
ATP1A4,0.75,4,3,0.75,0.972578,0.780814
ATP2B4,0.75,4,3,0.75,0.986724,0.911909
ATP6V0A1,0.75,4,3,0.75,0.972798,0.751464
BCL6B,0.75,4,3,0.75,0.81471,0.742843
BCL9,0.75,4,3,0.75,0.834878,0.665092
BEST3,0.75,4,3,0.75,0.987556,0.886695
BICC1,0.75,4,3,0.75,0.988225,0.787195
BTBD9,0.75,4,3,0.75,0.913116,0.760599
BTK,0.75,4,3,0.75,0.900782,0.697189
BUB1,0.75,4,3,0.75,0.860868,0.677704
C10orf90,0.75,4,3,0.75,0.941941,0.719624
CA8,0.75,4,3,0.75,0.868596,0.678873
CARM1,0.75,4,3,0.75,0.98988,0.742754
CASD1,0.75,4,3,0.75,0.98613,0.808584
CCAR2,0.75,4,3,0.75,0.881343,0.688461
CCDC173,0.75,4,3,0.75,0.971372,0.813488
CCDC27,0.75,4,3,0.75,0.979227,0.775002
CCDC6,0.75,4,3,0.75,0.990172,0.883227
CCDC66,0.75,4,3,0.75,0.896468,0.696104
CCDC7,0.75,4,3,0.75,0.981049,0.738336
CCL14,0.75,4,3,0.75,0.950123,0.869632
CCT6B,0.75,4,3,0.75,0.991035,0.826015
CDC42BPB,0.75,4,3,0.75,0.962346,0.729037
CDH13,0.75,4,3,0.75,0.901413,0.698557
CDH16,0.75,4,3,0.75,0.980019,0.860178
CDKAL1,0.75,4,3,0.75,0.859387,0.677708
CELF5,0.75,4,3,0.75,0.943572,0.715136
CEP135,0.75,4,3,0.75,0.976478,0.911703
CEP164,0.75,4,3,0.75,0.991066,0.7434
CEP290,0.75,4,3,0.75,0.954023,0.724888
CHST1,0.75,4,3,0.75,0.969221,0.732441
CKAP2,0.75,4,3,0.75,0.950626,0.811112
CKMT1B,0.75,4,3,0.75,0.842649,0.852869
CLU,0.75,4,3,0.75,0.98602,0.779269
CNTRL,0.75,4,3,0.75,0.986523,0.913543
COL10A1,0.75,4,3,0.75,0.933012,0.791643
COLGALT2,0.75,4,3,0.75,0.989862,0.750713
COPG1,0.75,4,3,0.75,0.973146,0.855562
COPG2,0.75,4,3,0.75,0.959398,0.840288
CPNE4,0.75,4,3,0.75,0.907819,0.78913
CPXCR1,0.75,4,3,0.75,0.953637,0.721011
CSPP1,0.75,4,3,0.75,0.977582,0.736667
CXADR,0.75,4,3,0.75,0.833205,0.714863
CXXC1,0.75,4,3,0.75,0.853444,0.749233
CYP11B1,0.75,4,3,0.75,0.907548,0.867824
CYP1A2,0.75,4,3,0.75,0.900424,0.867661
CYP2D6,0.75,4,3,0.75,0.910685,0.700875
DAB2IP,0.75,4,3,0.75,0.989751,0.742673
DAGLA,0.75,4,3,0.75,0.978541,0.876701
DDX10,0.75,4,3,0.75,0.983481,0.805475
DDX54,0.75,4,3,0.75,0.989166,0.742445
DGCR2,0.75,4,3,0.75,0.949654,0.722645
DHX40,0.75,4,3,0.75,0.989377,0.772841
DIABLO,0.75,4,3,0.75,0.930864,0.812944
DMTF1,0.75,4,3,0.75,0.934474,0.773784
DNAJB8,0.75,4,3,0.75,0.97768,0.834825
DNAJC1,0.75,4,3,0.75,0.977542,0.899975
DNAJC2,0.75,4,3,0.75,0.98394,0.739822
DNM1,0.75,4,3,0.75,0.873367,0.684552
DNMT3B,0.75,4,3,0.75,0.853655,0.67988
DRD2,0.75,4,3,0.75,0.982008,0.825048
DYRK4,0.75,4,3,0.75,0.985245,0.749761
DZANK1,0.75,4,3,0.75,0.991351,0.779637
EBF3,0.75,4,3,0.75,0.97984,0.883347
EEF1AKMT4-ECE2,0.75,4,3,0.75,0.991429,0.743715
EEF2K,0.75,4,3,0.75,0.92241,0.709187
EIF3M,0.75,4,3,0.75,0.973137,0.846335
ELOVL2,0.75,4,3,0.75,0.990684,0.818681
ELOVL4,0.75,4,3,0.75,0.944718,0.871475
ENC1,0.75,4,3,0.75,0.777568,0.702299
ERAP2,0.75,4,3,0.75,0.97126,0.733741
ESCO1,0.75,4,3,0.75,0.987058,0.873281
ETAA1,0.75,4,3,0.75,0.965321,0.824114
ETS1,0.75,4,3,0.75,0.981821,0.806579
EVC,0.75,4,3,0.75,0.981554,0.738654
FARSA,0.75,4,3,0.75,0.986829,0.741178
FASTKD5,0.75,4,3,0.75,0.909635,0.766084
FBP2,0.75,4,3,0.75,0.971591,0.740565
FEZ2,0.75,4,3,0.75,0.960025,0.7275
FGFR3,0.75,4,3,0.75,0.919532,0.707629
FGG,0.75,4,3,0.75,0.918792,0.863087
FGL1,0.75,4,3,0.75,0.904836,0.777891
FOLH1,0.75,4,3,0.75,0.933257,0.857077
G3BP2,0.75,4,3,0.75,0.976461,0.738092
GARRE1,0.75,4,3,0.75,0.990499,0.894785
GBP1,0.75,4,3,0.75,0.826339,0.749169
GCK,0.75,4,3,0.75,0.98829,0.779618
GIGYF2,0.75,4,3,0.75,0.933775,0.710389
GIMAP8,0.75,4,3,0.75,0.986546,0.90294
GIPC1,0.75,4,3,0.75,0.983722,0.759049
GK2,0.75,4,3,0.75,0.952381,0.724116
GLIPR1,0.75,4,3,0.75,0.927037,0.753869
GLP1R,0.75,4,3,0.75,0.892308,0.688955
GLYCTK,0.75,4,3,0.75,0.967232,0.744773
GNGT2,0.75,4,3,0.75,0.964831,0.801789
GOLM1,0.75,4,3,0.75,0.972954,0.734342
GPR45,0.75,4,3,0.75,0.948068,0.717839
GPR50,0.75,4,3,0.75,0.917716,0.705547
GPR61,0.75,4,3,0.75,0.961706,0.78414
GPRIN2,0.75,4,3,0.75,0.975983,0.83627
GPS1,0.75,4,3,0.75,0.972575,0.7802
GRK2,0.75,4,3,0.75,0.947432,0.772437
GSDMA,0.75,4,3,0.75,0.958115,0.816742
GTF2IRD1,0.75,4,3,0.75,0.955722,0.747859
HAS2,0.75,4,3,0.75,0.947514,0.90041
HASPIN,0.75,4,3,0.75,0.936049,0.876242
HCN2,0.75,4,3,0.75,0.986311,0.741031
HCRTR1,0.75,4,3,0.75,0.926582,0.892813
HDAC1,0.75,4,3,0.75,0.877471,0.83966
HERPUD2,0.75,4,3,0.75,0.985235,0.740753
HMBOX1,0.75,4,3,0.75,0.99132,0.767871
HNF1A,0.75,4,3,0.75,0.977333,0.848273
HPN,0.75,4,3,0.75,0.989924,0.87951
HR,0.75,4,3,0.75,0.956895,0.726483
HS3ST3A1,0.75,4,3,0.75,0.914724,0.841491
HSF2,0.75,4,3,0.75,0.978655,0.893825
HTR1F,0.75,4,3,0.75,0.933912,0.805487
IFIT5,0.75,4,3,0.75,0.959186,0.817188
IGF2BP3,0.75,4,3,0.75,0.945085,0.723184
IL1RL1,0.75,4,3,0.75,0.891026,0.744506
IL2RA,0.75,4,3,0.75,0.898978,0.727673
IL4I1,0.75,4,3,0.75,0.950608,0.723165
IL7R,0.75,4,3,0.75,0.991417,0.755062
INTS10,0.75,4,3,0.75,0.895693,0.830819
IPP,0.75,4,3,0.75,0.961069,0.736045
IQUB,0.75,4,3,0.75,0.888259,0.806004
IRAK4,0.75,4,3,0.75,0.983999,0.875897
ISLR,0.75,4,3,0.75,0.84123,0.798006
KCNC4,0.75,4,3,0.75,0.950925,0.751964
KCNH2,0.75,4,3,0.75,0.90988,0.808665
KCNS3,0.75,4,3,0.75,0.84871,0.838776
KCTD19,0.75,4,3,0.75,0.906306,0.74694
KIF13A,0.75,4,3,0.75,0.98919,0.742444
KIF21B,0.75,4,3,0.75,0.959626,0.727509
KLHL38,0.75,4,3,0.75,0.990664,0.7851
KRT12,0.75,4,3,0.75,0.912346,0.701041
KRT33B,0.75,4,3,0.75,0.978294,0.899288
LAMP3,0.75,4,3,0.75,0.980345,0.876326
LEO1,0.75,4,3,0.75,0.924842,0.879766
LGALS14,0.75,4,3,0.75,0.96514,0.881255
LHFPL1,0.75,4,3,0.75,0.94959,0.720461
LPP,0.75,4,3,0.75,0.871255,0.687458
LYN,0.75,4,3,0.75,0.977052,0.75665
MALT1,0.75,4,3,0.75,0.988266,0.791669
MAMDC2,0.75,4,3,0.75,0.969936,0.733178
MAP6,0.75,4,3,0.75,0.905073,0.785309
MAP9,0.75,4,3,0.75,0.973243,0.734217
MAPK9,0.75,4,3,0.75,0.896115,0.806952
MARCHF6,0.75,4,3,0.75,0.985004,0.881295
MC2R,0.75,4,3,0.75,0.837657,0.811661
MCCC1,0.75,4,3,0.75,0.988162,0.748287
MCOLN1,0.75,4,3,0.75,0.903554,0.699748
MEIS3,0.75,4,3,0.75,0.962491,0.785369
MEST,0.75,4,3,0.75,0.991344,0.79795
MFN1,0.75,4,3,0.75,0.94459,0.729312
MIDEAS,0.75,4,3,0.75,0.95474,0.723792
MIER3,0.75,4,3,0.75,0.979228,0.737441
MINDY4,0.75,4,3,0.75,0.944818,0.90069
MLH3,0.75,4,3,0.75,0.853632,0.694369
MMP9,0.75,4,3,0.75,0.973879,0.734851
MMS22L,0.75,4,3,0.75,0.942077,0.887375
MROH7,0.75,4,3,0.75,0.856567,0.819206
MS4A6A,0.75,4,3,0.75,0.907148,0.829192
MTMR2,0.75,4,3,0.75,0.988157,0.782768
MX1,0.75,4,3,0.75,0.936688,0.816207
MYCBPAP,0.75,4,3,0.75,0.986343,0.901752
MYF5,0.75,4,3,0.75,0.924244,0.867446
MYRF,0.75,4,3,0.75,0.899693,0.697961
NBEAL1,0.75,4,3,0.75,0.845499,0.667325
NCR1,0.75,4,3,0.75,0.874044,0.671138
NECAB1,0.75,4,3,0.75,0.969977,0.732642
NFXL1,0.75,4,3,0.75,0.869449,0.770926
NINL,0.75,4,3,0.75,0.879892,0.793148
NSUN5,0.75,4,3,0.75,0.945577,0.863085
NUP107,0.75,4,3,0.75,0.945941,0.75966
NXPH1,0.75,4,3,0.75,0.959625,0.895402
OPCML,0.75,4,3,0.75,0.895304,0.831867
OPRL1,0.75,4,3,0.75,0.972242,0.739187
OR10H1,0.75,4,3,0.75,0.99123,0.870388
OR10V1,0.75,4,3,0.75,0.975714,0.890864
OR2F2,0.75,4,3,0.75,0.969224,0.806716
OR2L8,0.75,4,3,0.75,0.890046,0.857676
OR2T1,0.75,4,3,0.75,0.98968,0.822527
OR2T27,0.75,4,3,0.75,0.957308,0.722868
OR4N2,0.75,4,3,0.75,0.904864,0.699968
OR4Q3,0.75,4,3,0.75,0.957347,0.721668
OR52E8,0.75,4,3,0.75,0.991407,0.870413
OR52H1,0.75,4,3,0.75,0.841028,0.714746
OR5K2,0.75,4,3,0.75,0.989184,0.821049
OR5L2,0.75,4,3,0.75,0.889573,0.706106
OR5M8,0.75,4,3,0.75,0.906308,0.701021
OR6C3,0.75,4,3,0.75,0.983968,0.841454
OR8A1,0.75,4,3,0.75,0.975634,0.905655
OR8G2P,0.75,4,3,0.75,0.975534,0.737113
OR9A4,0.75,4,3,0.75,0.972394,0.734282
OSBP,0.75,4,3,0.75,0.935992,0.792747
OSBPL6,0.75,4,3,0.75,0.905644,0.706525
P3H2,0.75,4,3,0.75,0.940345,0.718921
PCDHB2,0.75,4,3,0.75,0.866992,0.692537
PCIF1,0.75,4,3,0.75,0.91438,0.73316
PCYT1A,0.75,4,3,0.75,0.990637,0.808565
PFKL,0.75,4,3,0.75,0.85394,0.674777
PGGHG,0.75,4,3,0.75,0.907799,0.75474
PHF21A,0.75,4,3,0.75,0.913523,0.827464
PHKB,0.75,4,3,0.75,0.94912,0.797426
PIAS3,0.75,4,3,0.75,0.980216,0.797168
PIK3CD,0.75,4,3,0.75,0.956779,0.774602
PIP5K1B,0.75,4,3,0.75,0.976281,0.777895
PLIN2,0.75,4,3,0.75,0.918818,0.794298
PNLDC1,0.75,4,3,0.75,0.92798,0.752411
PON3,0.75,4,3,0.75,0.961319,0.740562
PPAN-P2RY11,0.75,4,3,0.75,0.908194,0.723975
PPARGC1A,0.75,4,3,0.75,0.976113,0.792284
PPFIA1,0.75,4,3,0.75,0.845324,0.792325
PPIP5K2,0.75,4,3,0.75,0.932239,0.71416
PRDM1,0.75,4,3,0.75,0.93811,0.7153
PRICKLE2,0.75,4,3,0.75,0.849548,0.681591
PRKAR2B,0.75,4,3,0.75,0.981401,0.744379
PROC,0.75,4,3,0.75,0.933446,0.749687
PSG9,0.75,4,3,0.75,0.828591,0.789032
PSME4,0.75,4,3,0.75,0.967614,0.748041
PTGER3,0.75,4,3,0.75,0.91274,0.780457
PTPDC1,0.75,4,3,0.75,0.846782,0.832908
QKI,0.75,4,3,0.75,0.840803,0.772567
RAB40A,0.75,4,3,0.75,0.961003,0.729639
RAB4B,0.75,4,3,0.75,0.964387,0.853811
RAD51C,0.75,4,3,0.75,0.980347,0.737317
RAD54B,0.75,4,3,0.75,0.966437,0.745827
RASGRP2,0.75,4,3,0.75,0.972839,0.73427
RASSF6,0.75,4,3,0.75,0.982132,0.738936
RBM15,0.75,4,3,0.75,0.963301,0.8212
RBM33,0.75,4,3,0.75,0.910692,0.70074
RDH8,0.75,4,3,0.75,0.899786,0.806865
RFPL1,0.75,4,3,0.75,0.863228,0.726327
RFWD3,0.75,4,3,0.75,0.895216,0.798944
RGS3,0.75,4,3,0.75,0.954378,0.724973
RIPK2,0.75,4,3,0.75,0.99135,0.743948
RNF20,0.75,4,3,0.75,0.979876,0.85355
RP2,0.75,4,3,0.75,0.861915,0.734798
RPAP1,0.75,4,3,0.75,0.962466,0.73009
RPS6KB1,0.75,4,3,0.75,0.813385,0.737249
RTEL1,0.75,4,3,0.75,0.985751,0.842267
SAP130,0.75,4,3,0.75,0.978254,0.867891
SATB1,0.75,4,3,0.75,0.937382,0.715146
SCNN1D,0.75,4,3,0.75,0.97401,0.764958
SEC16B,0.75,4,3,0.75,0.866947,0.794768
SEC31B,0.75,4,3,0.75,0.97128,0.786481
SEMA5B,0.75,4,3,0.75,0.96587,0.770945
SERPINB8,0.75,4,3,0.75,0.878735,0.687244
SERPINE1,0.75,4,3,0.75,0.982306,0.776962
SETD3,0.75,4,3,0.75,0.911493,0.840866
SETD7,0.75,4,3,0.75,0.845228,0.764921
SFXN1,0.75,4,3,0.75,0.957515,0.827911
SGCZ,0.75,4,3,0.75,0.989897,0.805888
SGK1,0.75,4,3,0.75,0.880608,0.683299
SGSM3,0.75,4,3,0.75,0.881968,0.688848
SH3PXD2B,0.75,4,3,0.75,0.842114,0.661151
SH3RF2,0.75,4,3,0.75,0.88146,0.8132
SH3YL1,0.75,4,3,0.75,0.928042,0.864453
SIGLEC5,0.75,4,3,0.75,0.983156,0.813694
SIMC1,0.75,4,3,0.75,0.928936,0.78649
SIRT3,0.75,4,3,0.75,0.897744,0.755677
SKA2,0.75,4,3,0.75,0.902486,0.690068
SLC10A4,0.75,4,3,0.75,0.899821,0.858483
SLC15A2,0.75,4,3,0.75,0.861223,0.833759
SLC17A5,0.75,4,3,0.75,0.980532,0.738016
SLC18A3,0.75,4,3,0.75,0.957037,0.726347
SLC20A2,0.75,4,3,0.75,0.957687,0.727675
SLC26A2,0.75,4,3,0.75,0.990225,0.749144
SLC26A8,0.75,4,3,0.75,0.87261,0.772787
SLC27A1,0.75,4,3,0.75,0.928559,0.712158
SLC28A1,0.75,4,3,0.75,0.861312,0.787694
SLC2A4,0.75,4,3,0.75,0.921663,0.802101
SLC44A1,0.75,4,3,0.75,0.941757,0.718967
SLC44A3,0.75,4,3,0.75,0.978215,0.747712
SLC5A4,0.75,4,3,0.75,0.903253,0.699505
SLC6A1,0.75,4,3,0.75,0.984505,0.740124
SLC7A13,0.75,4,3,0.75,0.921997,0.708824
SLC9A1,0.75,4,3,0.75,0.959573,0.737478
SLCO4A1,0.75,4,3,0.75,0.854705,0.675223
SLMAP,0.75,4,3,0.75,0.977038,0.736175
SLTM,0.75,4,3,0.75,0.936337,0.775811
SMC2,0.75,4,3,0.75,0.956777,0.756239
SNCAIP,0.75,4,3,0.75,0.906316,0.701001
SNX9,0.75,4,3,0.75,0.946609,0.799553
SOGA3,0.75,4,3,0.75,0.97453,0.905124
SP3,0.75,4,3,0.75,0.923942,0.857973
SPATA22,0.75,4,3,0.75,0.911366,0.7282
SPECC1,0.75,4,3,0.75,0.97596,0.851109
SPIC,0.75,4,3,0.75,0.988147,0.83592
SPINT1,0.75,4,3,0.75,0.919908,0.854749
SPOCK1,0.75,4,3,0.75,0.931013,0.735351
SPRY3,0.75,4,3,0.75,0.874574,0.695165
SRPRA,0.75,4,3,0.75,0.879104,0.68424
SRRT,0.75,4,3,0.75,0.789359,0.707363
STAT1,0.75,4,3,0.75,0.948796,0.811588
STXBP2,0.75,4,3,0.75,0.91314,0.801387
SUV39H2,0.75,4,3,0.75,0.926692,0.728022
SYT12,0.75,4,3,0.75,0.979232,0.829724
SYT6,0.75,4,3,0.75,0.988488,0.826097
TAF7L,0.75,4,3,0.75,0.867516,0.675785
TAOK1,0.75,4,3,0.75,0.990205,0.928911
TAPT1,0.75,4,3,0.75,0.991266,0.757286
TAS2R9,0.75,4,3,0.75,0.986907,0.780335
TET2,0.75,4,3,0.75,0.954162,0.909372
THRAP3,0.75,4,3,0.75,0.991418,0.895338
TINAG,0.75,4,3,0.75,0.960016,0.839831
TINF2,0.75,4,3,0.75,0.909173,0.698819
TJP2,0.75,4,3,0.75,0.990085,0.74322
TKTL1,0.75,4,3,0.75,0.961364,0.737601
TLR3,0.75,4,3,0.75,0.89969,0.821663
TMEM104,0.75,4,3,0.75,0.961893,0.793117
TMEM215,0.75,4,3,0.75,0.978976,0.919214
TMEM94,0.75,4,3,0.75,0.936399,0.8252
TNKS1BP1,0.75,4,3,0.75,0.905301,0.743183
TOP1MT,0.75,4,3,0.75,0.990854,0.743293
TOP2A,0.75,4,3,0.75,0.978493,0.737103
TOPBP1,0.75,4,3,0.75,0.924614,0.754852
TOX,0.75,4,3,0.75,0.93949,0.738498
TOX3,0.75,4,3,0.75,0.987961,0.919049
TPCN1,0.75,4,3,0.75,0.955085,0.86451
TPSD1,0.75,4,3,0.75,0.904639,0.871244
TRA2A,0.75,4,3,0.75,0.990467,0.850404
TRA2B,0.75,4,3,0.75,0.879685,0.765395
TRAF1,0.75,4,3,0.75,0.935109,0.713148
TRAF3,0.75,4,3,0.75,0.819357,0.742877
TRAPPC9,0.75,4,3,0.75,0.991253,0.744729
TREML1,0.75,4,3,0.75,0.944123,0.809511
TRIM23,0.75,4,3,0.75,0.838049,0.827879
